Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2
114,4.56,88,42,25.0,critical,0.836,790,354,878,396
114,4.56,158,50,25.0,critical,0.814,842,190,1000,240
114,4.56,387,123,25.0,critical,0.774,2,406,389,529
114,4.56,116,62,25.0,critical,0.745,846,415,962,477
114,4.56,193,35,25.0,critical,0.667,74,241,267,276
114,4.56,314,68,25.0,critical,0.642,98,280,412,348
117,4.68,97,44,25.0,critical,0.832,805,372,902,416
117,4.68,162,50,25.0,critical,0.805,847,195,1009,245
117,4.68,132,71,25.0,critical,0.732,868,437,1000,508
117,4.68,319,71,25.0,critical,0.717,89,291,408,362
117,4.68,194,34,25.0,critical,0.652,61,246,255,280
117,4.68,354,144,25.0,critical,0.609,0,433,354,577
117,4.68,122,86,25.0,critical,0.554,1,634,123,720
117,4.68,163,56,25.0,critical,0.514,497,316,660,372
120,4.80,173,52,25.0,critical,0.785,854,197,1027,249
120,4.80,99,50,25.0,critical,0.768,822,390,921,440
120,4.80,201,40,25.0,critical,0.699,42,249,243,289
120,4.80,135,81,25.0,critical,0.683,898,462,1033,543
120,4.80,333,80,25.0,critical,0.611,60,299,393,379
123,4.92,205,39,25.0,critical,0.823,25,257,230,296
123,4.92,174,56,25.0,critical,0.816,860,198,1034,254
123,4.92,380,95,25.0,critical,0.796,35,305,415,400
123,4.92,152,97,25.0,critical,0.769,922,490,1074,587
123,4.92,185,56,25.0,critical,0.759,482,345,667,401
123,4.92,109,50,25.0,critical,0.736,839,415,948,465
126,5.04,193,67,25.0,critical,0.809,483,355,676,422
126,5.04,214,47,25.0,critical,0.806,2,260,216,307
126,5.04,114,58,25.0,critical,0.764,860,437,974,495
126,5.04,176,121,25.0,critical,0.764,949,522,1125,643
126,5.04,361,90,25.0,critical,0.748,18,325,379,415
126,5.04,183,57,25.0,critical,0.742,871,203,1054,260
129,5.16,212,143,25.0,critical,0.883,973,561,1185,704
129,5.16,389,110,25.0,critical,0.830,4,330,393,440
129,5.16,213,68,25.0,critical,0.820,471,378,684,446
129,5.16,190,59,25.0,critical,0.782,878,208,1068,267
129,5.16,139,65,25.0,critical,0.764,865,465,1004,530
129,5.16,208,42,25.0,critical,0.716,0,274,208,316
129,5.16,384,158,25.0,critical,0.667,0,562,384,720
132,5.28,225,79,25.0,critical,0.891,459,389,684,468
132,5.28,392,104,25.0,critical,0.861,0,353,392,457
132,5.28,152,74,25.0,critical,0.833,888,496,1040,570
132,5.28,200,61,25.0,critical,0.814,880,211,1080,272
132,5.28,185,46,25.0,critical,0.753,1,280,186,326
132,5.28,213,106,25.0,critical,0.545,1025,614,1238,720
135,5.40,232,86,25.0,critical,0.937,460,415,692,501
135,5.40,371,114,25.0,critical,0.891,0,368,371,482
135,5.40,204,67,25.0,critical,0.843,889,212,1093,279
135,5.40,175,50,25.0,critical,0.804,0,289,175,339
135,5.40,170,86,25.0,critical,0.796,904,532,1074,618
138,5.52,182,102,25.0,critical,0.890,942,574,1124,676
138,5.52,250,99,25.0,critical,0.884,451,436,701,535
138,5.52,151,52,25.0,critical,0.859,0,294,151,346
138,5.52,206,66,25.0,critical,0.833,901,221,1107,287
138,5.52,334,119,25.0,critical,0.831,0,388,334,507
138,5.52,147,49,25.0,critical,0.538,341,257,488,306
141,5.64,281,111,25.0,critical,0.917,432,453,713,564
141,5.64,176,104,25.0,critical,0.893,986,612,1162,716
141,5.64,316,118,25.0,critical,0.866,0,401,316,519
141,5.64,220,70,25.0,critical,0.738,905,221,1125,291
144,5.76,298,122,25.0,critical,0.883,420,488,718,610
144,5.76,308,134,25.0,critical,0.832,3,420,311,554
144,5.76,242,72,25.0,critical,0.729,909,225,1151,297
144,5.76,59,27,25.0,critical,0.581,854,346,913,373
147,5.88,320,152,25.0,critical,0.893,413,520,733,672
147,5.88,298,152,25.0,critical,0.830,0,447,298,599
147,5.88,248,85,25.0,critical,0.751,921,228,1169,313
147,5.88,175,56,25.0,critical,0.616,295,279,470,335
147,5.88,59,29,25.0,critical,0.550,873,361,932,390
150,6.00,362,146,25.0,critical,0.880,393,574,755,720
150,6.00,280,162,25.0,critical,0.828,0,479,280,641
150,6.00,262,87,25.0,critical,0.789,931,231,1193,318
150,6.00,189,60,25.0,critical,0.646,282,288,471,348
150,6.00,67,31,25.0,critical,0.523,890,378,957,409
153,6.12,254,180,25.0,critical,0.822,0,511,254,691
153,6.12,334,100,25.0,critical,0.775,450,620,784,720
153,6.12,276,89,25.0,critical,0.592,941,235,1217,324
153,6.12,69,36,25.0,critical,0.560,913,400,982,436
153,6.12,205,69,25.0,critical,0.540,269,293,474,362
156,6.24,213,163,25.0,critical,0.770,1,557,214,720
156,6.24,297,106,25.0,critical,0.750,957,238,1254,344
156,6.24,77,40,25.0,critical,0.698,936,422,1013,462
156,6.24,214,67,25.0,critical,0.614,241,309,455,376
159,6.36,228,77,25.0,critical,0.802,232,320,460,397
